factor,comparison_level,baseline_level,diff,pvalue,lower,upper,ablation_conclusion
chunking,fixed_1024,fixed_512,0.014809591872452121,0.3418013910704061,-0.009459945157694376,0.03907912890259862,Không khác biệt (Không có ý nghĩa thống kê)
chunking,recursive,fixed_512,0.015836185666281644,0.2891112242621956,-0.008433351363864854,0.04010572269642814,Không khác biệt (Không có ý nghĩa thống kê)
chunking,semantic,fixed_512,-0.028099997115367953,0.018084003419202466,-0.05236953414551445,-0.0038304600852214557,TỆ HƠN Baseline (Giảm 0.0281 điểm)
pre_retrieval,query_rewrite,none,-0.029265989355263755,0.000988594976591095,-0.04791986461397094,-0.010612114096556567,TỆ HƠN Baseline (Giảm 0.0293 điểm)
pre_retrieval,hyde,none,-0.08919584057279728,0.0,-0.11005150713393266,-0.0683401740116619,TỆ HƠN Baseline (Giảm 0.0892 điểm)
retrieval,sparse_bm25,dense_cosine,0.33527266887929386,0.0,0.3158268620484218,0.3547184757101659,TỐT HƠN Baseline (Tăng 0.3353 điểm)
retrieval,hybrid_rrf,dense_cosine,0.22800425917803163,0.0,0.21061140079756774,0.24539711755849553,TỐT HƠN Baseline (Tăng 0.2280 điểm)
index_structure,parent_document,flat,-0.0722607665519317,0.0,-0.08683229082932672,-0.057689242274536666,TỆ HƠN Baseline (Giảm 0.0723 điểm)
post_retrieval,cross_encoder_rerank,none,0.0029435665174711856,0.9137916936650528,-0.015179365396207282,0.021066498431149654,Không khác biệt (Không có ý nghĩa thống kê)
post_retrieval,contextual_compression,none,0.059622462289042666,5.721537132963306e-09,0.037426494373186014,0.08181843020489932,TỐT HƠN Baseline (Tăng 0.0596 điểm)
