chunking,retrieval,hitrate,recall,mrr,ndcg
c_512,dense,0.203125,0.14518229166666669,0.15625,0.13816864517948332
c_512,bm25,0.203125,0.12955729166666669,0.10859374999999999,0.09259705564377126
c_512,hybrid,0.265625,0.19986979166666666,0.18333333333333335,0.16386935475062514
c_1024,dense,0.25,0.17708333333333331,0.234375,0.1837787333621957
c_1024,bm25,0.265625,0.17317708333333331,0.24140625,0.1820223228554038
c_1024,hybrid,0.328125,0.21354166666666666,0.24479166666666669,0.20124538154020985
c_rec,dense,0.234375,0.17252604166666666,0.17369791666666665,0.15890995906930422
c_rec,bm25,0.203125,0.12109375,0.17447916666666669,0.12875763377325872
c_rec,hybrid,0.296875,0.21484375,0.23802083333333335,0.19955141160592446
c_sem,dense,0.28125,0.20507812499999997,0.2140625,0.17857526278969338
c_sem,bm25,0.09375,0.032552083333333336,0.07083333333333333,0.03710906373225167
c_sem,hybrid,0.25,0.16796874999999997,0.1919270833333333,0.14984003887773265
