pipeline_id,chunking,pre_retrieval,retrieval,index_structure,post_retrieval,hit_rate_at_5,recall_at_5,mrr_at_5,ndcg_at_5,score_criterion_1,score_criterion_2
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,fixed_1024,none,sparse_bm25,flat,contextual_compression,0.78125,0.6497395833333334,0.6567708333333333,0.608742767757171,0.6741257961059595,0.6518489583333333
P_fixed_1024_none_sparse_bm25_flat_none,fixed_1024,none,sparse_bm25,flat,none,0.78125,0.6497395833333334,0.6567708333333333,0.608742767757171,0.6741257961059595,0.6518489583333333
P_recursive_none_sparse_bm25_flat_none,recursive,none,sparse_bm25,flat,none,0.765625,0.5983940972222223,0.6940104166666666,0.6086046959058218,0.6666585524486777,0.6270789930555556
P_recursive_none_sparse_bm25_flat_contextual_compression,recursive,none,sparse_bm25,flat,contextual_compression,0.765625,0.5983940972222223,0.6940104166666666,0.6086046959058218,0.6666585524486777,0.6270789930555556
P_fixed_1024_query_rewrite_sparse_bm25_flat_none,fixed_1024,query_rewrite,sparse_bm25,flat,none,0.671875,0.5596788194444444,0.55078125,0.5221023452117929,0.5761093536640594,0.5570095486111111
P_fixed_1024_query_rewrite_sparse_bm25_flat_contextual_compression,fixed_1024,query_rewrite,sparse_bm25,flat,contextual_compression,0.671875,0.5596788194444444,0.55078125,0.5221023452117929,0.5761093536640594,0.5570095486111111
P_fixed_512_none_sparse_bm25_flat_contextual_compression,fixed_512,none,sparse_bm25,flat,contextual_compression,0.65625,0.5421006944444444,0.5494791666666666,0.5120739440455342,0.5649759512891613,0.5443142361111111
P_fixed_512_none_sparse_bm25_flat_none,fixed_512,none,sparse_bm25,flat,none,0.65625,0.5421006944444444,0.5494791666666666,0.5120739440455342,0.5649759512891613,0.5443142361111111
P_recursive_query_rewrite_sparse_bm25_flat_none,recursive,query_rewrite,sparse_bm25,flat,none,0.65625,0.5282986111111111,0.5708333333333333,0.5240705450251353,0.5698631223673949,0.5410590277777777
P_recursive_query_rewrite_sparse_bm25_flat_contextual_compression,recursive,query_rewrite,sparse_bm25,flat,contextual_compression,0.65625,0.5282986111111111,0.5708333333333333,0.5240705450251353,0.5698631223673949,0.5410590277777777
